keyword,type,cluster,page_route,intent
"AI-sammanfattning av lagtext",primary,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"lagtext pa klarsprak",secondary,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"forsta lagtext",secondary,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"vad betyder lagen",secondary,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"forklara lagtext pa enkel svenska",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"vad betyder paragrafen i klartext",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"sammanfatta foreskrift AFS",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"hur paverkar lagen mitt foretag",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"lagtext for icke-jurister",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"forsta miljobalken enkelt",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"AI som forklarar lagar",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"tolka lagkrav i verksamheten",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"snabb oversikt over ny lagstiftning",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"lagtext sammanfattning exempel",longtail,"funktioner","/funktioner/ai-sammanfattningar","commercial"
"aktivitetslogg lagefterlevnad",primary,"funktioner","/funktioner/aktivitetslogg","commercial"
"spårbarhet compliance",secondary,"funktioner","/funktioner/aktivitetslogg","commercial"
"händelselogg laglista",secondary,"funktioner","/funktioner/aktivitetslogg","commercial"
"vem gjorde vad när",secondary,"funktioner","/funktioner/aktivitetslogg","commercial"
"spårbarhet i lagefterlevnadsarbetet",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"logg över ändringar laglista",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"vem ändrade en bedömning",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"historik över lagefterlevnadskontroll",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"dokumentera beslut compliance",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"audit trail svenska",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"visa underlag för revision",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"spårbarhet egenkontroll miljöbalken",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"historik kravpunkt bedömning",longtail,"funktioner","/funktioner/aktivitetslogg","commercial"
"ansvarsfördelning lagefterlevnad",primary,"funktioner","/funktioner/ansvar-samarbete","commercial"
"tilldela ansvarig lagkrav",secondary,"funktioner","/funktioner/ansvar-samarbete","commercial"
"samarbeta laglista team",secondary,"funktioner","/funktioner/ansvar-samarbete","commercial"
"uppgiftsfördelning arbetsmiljö",secondary,"funktioner","/funktioner/ansvar-samarbete","commercial"
"vem ansvarar för lagefterlevnad i företaget",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"fördela ansvar för lagkrav",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"uppgiftsfördelning arbetsmiljö mall",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"tilldela ansvarig person kravpunkt",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"samarbeta kring laglista flera användare",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"roller och behörighet compliance",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"delegera arbetsmiljöuppgifter",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"ansvarig för egenkontroll miljöbalken",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"hur dokumenterar man ansvarsfördelning",longtail,"funktioner","/funktioner/ansvar-samarbete","commercial"
"dokumenthantering laglista",primary,"funktioner","/funktioner/filer","commercial"
"bifoga dokument efterlevnad",secondary,"funktioner","/funktioner/filer","commercial"
"samla bevis lagefterlevnad",secondary,"funktioner","/funktioner/filer","commercial"
"dokumentkontroll compliance",secondary,"funktioner","/funktioner/filer","commercial"
"hur samlar man bevis på lagefterlevnad",longtail,"funktioner","/funktioner/filer","commercial"
"bifoga dokument till kravpunkt",longtail,"funktioner","/funktioner/filer","commercial"
"dokumenthantering systematiskt arbetsmiljöarbete",longtail,"funktioner","/funktioner/filer","commercial"
"samla underlag för revision compliance",longtail,"funktioner","/funktioner/filer","commercial"
"var lagrar man egenkontroll dokumentation",longtail,"funktioner","/funktioner/filer","commercial"
