keyword,tag,type
AFS,afs,primary
arbetsmiljöverkets föreskrifter,afs,secondary
nya AFS-regelstrukturen,afs,secondary
AFS 2023:1,afs,secondary
AI Act,ai-act,primary
AI-förordningen,ai-act,secondary
AI-reglering,ai-act,secondary
högriskklassificering AI,ai-act,secondary
alkohollagen,alkohollagen,primary
serveringstillstånd,alkohollagen,secondary
alkoholservering,alkohollagen,secondary
alkohollagen krav,alkohollagen,secondary
arbetsmiljö,arbetsmiljo,primary
arbetsmiljölagen,arbetsmiljolagen,primary
systematiskt arbetsmiljöarbete,sam,primary
arbetsmiljöansvar,arbetsmiljo,secondary
arbetsmiljölagen sammanfattning,arbetsmiljolagen,secondary
arbetsmiljölagen krav,arbetsmiljolagen,secondary
arbetsgivarens ansvar,arbetsmiljolagen,secondary
arbetstidslagen,arbetstidslagen,primary
arbetstidsregler,arbetstidslagen,secondary
dygnsvila,arbetstidslagen,secondary
veckovila,arbetstidslagen,secondary
avfallsförordningen,avfallsforordningen,primary
avfallshantering,avfallsforordningen,secondary
farligt avfall,avfallsforordningen,secondary
anteckningsskyldighet farligt avfall,avfallsforordningen,secondary
avfallstrappan,avfallstrappan,primary
avfallshierarkin,avfallstrappan,secondary
avfallstrappan steg,avfallstrappan,secondary
boverkets byggregler,boverkets-byggregler,primary
BBR,boverkets-byggregler,secondary
byggregler,boverkets-byggregler,secondary
tekniska egenskapskrav,boverkets-byggregler,secondary
brandskydd,brandskydd,primary
systematiskt brandskyddsarbete,sba,primary
lag om skydd mot olyckor,lag-om-skydd-mot-olyckor,primary
brandsäkerhet,brandskydd,secondary
CE-märkning,ce-markning,primary
CE-märka produkt,ce-markning,secondary
CE-märkning krav,ce-markning,secondary
försäkran om överensstämmelse,ce-markning,secondary
CSRD,csrd,primary
hållbarhetsrapportering,csrd,secondary
hållbarhetsdirektivet,csrd,secondary
ESRS,csrd,secondary
diskrimineringslagen,diskrimineringslagen,primary
aktiva åtgärder,diskrimineringslagen,secondary
diskrimineringsgrunder,diskrimineringslagen,secondary
DORA,dora,primary
DORA-förordningen,dora,secondary
digital operativ motståndskraft,dora,secondary
IKT-risk,dora,secondary
egenkontroll miljö,egenkontroll,primary
egenkontrollförordningen,egenkontroll,secondary
miljöbalken egenkontroll,egenkontroll,secondary
verksamhetsutövares egenkontroll,egenkontroll,secondary
elsäkerhetslagen,elsakerhetslagen,primary
elinstallationsföretag,elsakerhetslagen,secondary
egenkontrollprogram,elsakerhetslagen,secondary
elsäkerhet,elsakerhetslagen,secondary
energikartläggning,energikartlaggning,primary
energikartläggning stora företag,energikartlaggning,secondary
EKL lag,energikartlaggning,secondary
lag 2014:266,energikartlaggning,secondary
ESG,esg,primary
ESG rapportering,esg,secondary
EU-taxonomin,eu-taxonomin,primary
taxonomiförordningen,eu-taxonomin,secondary
hållbara investeringar,eu-taxonomin,secondary
miljömål,eu-taxonomin,secondary
GDPR,gdpr,primary
dataskyddsförordningen,gdpr,secondary
personuppgifter,gdpr,secondary
dataskydd,gdpr,secondary
internrevision,internrevision,primary
intern revision ledningssystem,internrevision,secondary
internrevision ISO,internrevision,secondary
revisionsplan,internrevision,secondary
ISO 14001,iso-14001,primary
miljöledningssystem,miljoledningssystem,primary
ISO 14001 certifiering,iso-14001,secondary
bindande krav ISO 14001,iso-14001,secondary
ISO 27001,iso-27001,primary
ledningssystem för informationssäkerhet,iso-27001,secondary
ISO 27001 certifiering,iso-27001,secondary
ISO/IEC 27001:2022,iso-27001,secondary
ISO 45001,iso-45001,primary
ledningssystem för arbetsmiljö,iso-45001,secondary
ISO 45001 certifiering,iso-45001,secondary
arbetsmiljöstandard,iso-45001,secondary
ISO 50001,iso-50001,primary
energiledningssystem,iso-50001,secondary
ISO 50001 certifiering,iso-50001,secondary
